"paragraph","message","polarity_class","polarity_score","emotion"
"এই নিয়েছে ওই নিলো যাটিপ নিয়েছে চিলে 🥴🥴চিলের পিছে ঘুরছি মিছেআমরা সবাই মিলে..","","stronglyNegative",-0.9998002052307129,"{""neutral"":0.022165069356560707,""happy"":0.007362671662122011,""anger/disgust"":0.5184264779090881,""sadness"":0.5936568975448608,""surprise"":0.017262941226363182,""fear"":0.05089963600039482}"
"এই নোংরামি বন্ধ করেন । পারলে দেশ ও জাতিকে বাঁচানোর চেষ্টা করেন । কে কি করছে কেন করছে সবাই তা ভালো করেই বোঝে । সারা বিশ্ব ধ্বংসের পথে আর এরা আছে টিপ ব্যাবসা নিয়ে ।","","stronglyNegative",-0.9981752634048462,"{""neutral"":0.0008947571623139083,""happy"":0.0018726144917309284,""anger/disgust"":0.9893801212310791,""sadness"":0.08462242037057877,""surprise"":0.0028640804812312126,""fear"":0.00543648237362504}"
"এই পুলিশ কর্মকর্তার প্রত্যাহার অযৌক্তিক।উনি তো নারীর স্বাধীনতা নিয়ে কোন কথা বলেন নি। শুধু প্রতিবাদের ধরণ নিয়ে বলেছেন। এতেই প্রত্যাহার বাক-স্বাধীনতার বিরোধী।","","weaklyNegative",-0.5981540918350219,"{""neutral"":0.002666245447471738,""happy"":0.0038108937442302704,""anger/disgust"":0.8487090468406677,""sadness"":0.5433392524719238,""surprise"":0.010165712796151638,""fear"":0.02087019383907318}"
"এই বয়সে টিপ দিলেও কেউ তাকাবে না। হুদাই টাকা লস।","","stronglyNegative",-0.9998867750167847,"{""neutral"":0.0022602451499551535,""happy"":0.0009096161229535937,""anger/disgust"":0.08347896486520767,""sadness"":0.9463021755218506,""surprise"":0.006634972058236599,""fear"":0.03237656131386757}"
"এই বারোভাতারী কে উত্তর কোরিয়া পাঠানো হোক","","neutral",-0.1999879837036133,"{""neutral"":0.00026131237973459065,""happy"":0.00015161609917413443,""anger/disgust"":0.999538779258728,""sadness"":0.0016440094914287329,""surprise"":0.0005257807206362486,""fear"":0.00005603429235634394}"
"এই বেটা তোর বৌ নাই? তুই মেয়ে মানুষদের সম্পকে বাজে কথা বলিস!!!","","stronglyNegative",-0.9999418258666992,"{""neutral"":0.0004584627749864012,""happy"":0.0001362731563858688,""anger/disgust"":0.9984412789344788,""sadness"":0.0026677052956074476,""surprise"":0.0034496216103434563,""fear"":0.0001095825427910313}"
"এই মহিলা তো সব ই জানে,ওনি ইচ্ছে করলেই ওই পুলিশ সদস্যর নাম, বাপের নাম,ঠিকানা সব বলে দিতে পারে,আশা করি ওনারা দুজন পূর্ব পরিচিত ছিলো এটাও নিউজ এ আসবে,,","","weaklyNegative",-0.5850871324539184,"{""neutral"":0.20369014143943787,""happy"":0.1499234139919281,""anger/disgust"":0.39903977513313293,""sadness"":0.13104408979415894,""surprise"":0.22738605737686157,""fear"":0.06474315375089645}"
"এই মহিলার দোষ আছে নাইলে পুলিশ এনার টিপ নিয়ে কথা বলতো না","","stronglyNegative",-0.9994894742965699,"{""neutral"":0.005578526295721531,""happy"":0.0005241087637841702,""anger/disgust"":0.9692392945289612,""sadness"":0.03647138923406601,""surprise"":0.0020843648817390203,""fear"":0.0023352226708084345}"
"এই সব খান'কিদের চেহারা দেখলেও বিরক্ত লাগে😠, আর তাদের কে ⛽ লাগানো জন্য আরো হাজারো খান'কির এখানে অভাব নাই😡","","stronglyNegative",-0.9998629093170166,"{""neutral"":0.00034281250555068254,""happy"":0.0004563587426673621,""anger/disgust"":0.9980108141899109,""sadness"":0.009317153133451939,""surprise"":0.0008294923463836312,""fear"":0.00031742858118377626}"
"এই সিনেমা আর কত দিন চলবে?? নতুন সিনেমার অপেক্ষায় আছি 🙂","","weaklyPositive",0.5998065948486329,"{""neutral"":0.4680311381816864,""happy"":0.5140817165374756,""anger/disgust"":0.04054250940680504,""sadness"":0.025358043611049652,""surprise"":0.009871495887637138,""fear"":0.005026035942137241}"
"এই হলো দেশের শিক্ষা গুরু, মানুষ নামের কলংক","","stronglyNegative",-0.9999362468719483,"{""neutral"":0.0002123652957379818,""happy"":0.0003048588114324957,""anger/disgust"":0.9986501336097717,""sadness"":0.006300401873886585,""surprise"":0.00021923103486187756,""fear"":0.00005830694499309175}"
