"paragraph","message","polarity_class","polarity_score","emotion"
"আমার এলাকায় সরকারের একটা ঘর দিতে ৩০ হাজার টাকা করে নেয়। তাও একমাস তাদের পিছনে গুরতে হয়।","","stronglyNegative",-0.999593997001648,"{""neutral"":0.002531626494601369,""happy"":0.0013306709006428719,""anger/disgust"":0.8075068593025208,""sadness"":0.5296282768249512,""surprise"":0.009238645434379578,""fear"":0.015545646660029888}"
"আমার নিজের বাড়ি নাই, ভাড়া বাসায় থাকি। আমি কি গৃহহীন?","","neutral",-0.17658201456069947,"{""neutral"":0.2757376432418823,""happy"":0.0010178607190027833,""anger/disgust"":0.007713681552559137,""sadness"":0.6143279075622559,""surprise"":0.010587552562355995,""fear"":0.1537930816411972}"
"আমার মনে হয় উনি শীলংকা থেকে আসছেন কারণ আমাদের দেশের কিছু গরু ছাগল দের মন্ত্রীর আছে। তারা তো সবসময়ই বলে বেড়ান এই দেশে নাকি গরীব মানুষ নাই।","","stronglyNegative",-0.9992310047149658,"{""neutral"":0.0006708588916808367,""happy"":0.0005303669604472816,""anger/disgust"":0.9966863989830017,""sadness"":0.012481850571930408,""surprise"":0.0038435151800513268,""fear"":0.000988587038591504}"
"আমার মনে হয় তিনি এই ডিজিটাল দেশের নাগরিক নহে","","weaklyNegative",-0.5991044521331788,"{""neutral"":0.03258268162608147,""happy"":0.0005354532622732222,""anger/disgust"":0.2896416187286377,""sadness"":0.5022749304771423,""surprise"":0.00708008510991931,""fear"":0.04016738012433052}"
"আমার মুখে হাসি নাই কারন খাবার পানি নাই ৫ বছর অথচ ওয়াসা বিল নেয় মাসে মাসে, রাস্তা নাই, সুয়ারেজের লাইন নাই , অথচ দেখার কেউ নাই। কোনা পাড়া, ডগাই, মাজার রোড । Bangladesh","","stronglyNegative",-0.9975892305374146,"{""neutral"":0.006438687909394503,""happy"":0.005626424681395292,""anger/disgust"":0.7307613492012024,""sadness"":0.741456925868988,""surprise"":0.02492973767220974,""fear"":0.05330624803900719}"
"আমারও একটা লাগবে","","neutral",0.19993569850921633,"{""neutral"":0.8602319955825806,""happy"":0.05877002701163292,""anger/disgust"":0.021849283948540688,""sadness"":0.06543856859207153,""surprise"":0.020362626761198044,""fear"":0.01968451403081417}"
"আমি এক জন প্রবাসি আমাকে একটি ঘর দিলে ভালো হতো সেক হাসিনা সরকার বার বার দরকার জয় বাংলা জয় বঙ্গবন্ধু কন্যা প্রধানমন্ত্রী শেখ হাসিনা আমরা চাই সুন্দর সমাজ প্রবাসি","","stronglyPositive",0.9997800111770632,"{""neutral"":0.041414905339479446,""happy"":0.9501377940177917,""anger/disgust"":0.013229107484221458,""sadness"":0.021034326404333115,""surprise"":0.0027298852801322937,""fear"":0.0038851997815072536}"
"আমি বলি টাকাটা কার?","","neutral",-0.19999067783355715,"{""neutral"":0.895423173904419,""happy"":0.01091628149151802,""anger/disgust"":0.14163635671138763,""sadness"":0.020588723942637444,""surprise"":0.03373701870441437,""fear"":0.008881112560629845}"
"আমি বাংলাদেশের সমস্ত মানুষের ভোট হরন করতে খুব ভালোবাসি।","","stronglyNegative",-0.9998623371124268,"{""neutral"":0.00407863175496459,""happy"":0.0978718250989914,""anger/disgust"":0.955551266670227,""sadness"":0.024615347385406494,""surprise"":0.0018897842383012176,""fear"":0.0009536566212773323}"
"আমি শুধু ভাবি একজন মানুষ এত কিছু কিভাবে পাড়ে ।যিনি সারাদিন দেশের উন্নয়নে কাজ করেন এবং রাতে আল্লাহর ইবাদতে মগ্ন থাকেন।আল্লাহ তায়ালা তাকে অমরত্ত দান করুন।","","stronglyPositive",0.8527795553207398,"{""neutral"":0.001955887535586953,""happy"":0.9532558917999268,""anger/disgust"":0.000589357630815357,""sadness"":0.0016346852062270045,""surprise"":0.8695477247238159,""fear"":0.0006944285705685616}"
"আমিও","","neutral",0.18214486837387087,"{""neutral"":0.8256729245185852,""happy"":0.11586438119411469,""anger/disgust"":0.005818808916956186,""sadness"":0.0050768135115504265,""surprise"":0.001319957198575139,""fear"":0.0004986238200217485}"
"আমিও আপনার সব কার্যক্রম পছন্দ করি","","stronglyPositive",0.9987050533294679,"{""neutral"":0.00008777996845310554,""happy"":0.9998551607131958,""anger/disgust"":0.00016963478992693126,""sadness"":0.0004830930265597999,""surprise"":0.00026312441332265735,""fear"":0.000011470954632386565}"
"আয়ুষ্কাল, লিঙ্গ সমতা, সর্বজনীন প্রাথমিক শিক্ষা, নারী শিক্ষা, নারীর রাজনৈতিক অধিকার, নারী ও শিশু মৃত্যুহার, স্যানিটেশন এবং খাদ্যের প্রাপ্যতার মতো বিভিন্ন সূচকে, বাংলাদেশ শুধু প্রতিবেশী দেশগুলোকে ছাড়িয়ে যায়নি, অনেক ক্ষেত্রে উন্নত দেশগুলোকেও ছাড়িয়ে গেছে। ধন্যবাদ মাননীয় প্রধানমন্ত্রী শেখ হাসিনা।","","stronglyPositive",0.9998814821243287,"{""neutral"":0.006627901457250118,""happy"":0.9942113757133484,""anger/disgust"":0.003124255919829011,""sadness"":0.012816930189728737,""surprise"":0.06345882266759872,""fear"":0.004710616543889046}"
"আর আলেম সমাজকে নির্যাতন করে আপনি শান্তি পান।","","stronglyNegative",-0.9999348640441894,"{""neutral"":0.00020485410641413182,""happy"":0.0002575853723101318,""anger/disgust"":0.9993671774864197,""sadness"":0.001951462822034955,""surprise"":0.0010129570728167892,""fear"":0.00007402970368275419}"
"আর এতো মানুষের কান্না তো চশমা দিয়েও চোখে পড়ে না!🙄🥴","","stronglyNegative",-0.9998697757720947,"{""neutral"":0.01468368899077177,""happy"":0.0007371042738668621,""anger/disgust"":0.11089606583118439,""sadness"":0.885668933391571,""surprise"":0.05188462510704994,""fear"":0.014731409959495068}"
"আর কারা নির্যাতিত জিয়ার সৈনিকদের পরিবারের কান্না দেখে আপনি হাসেন ।ঈদের আগে সকল কারাবন্দীর মুক্তি চাই ।","","weaklyPositive",0.5402883529663087,"{""neutral"":0.010544069111347198,""happy"":0.03375039994716644,""anger/disgust"":0.8128640055656433,""sadness"":0.35500290989875793,""surprise"":0.007850096561014652,""fear"":0.010776791721582413}"
"আর কী কী পেলে বাংলার মানুষ আওয়ামীলীগকে ভালবাসবে,আমি এটাই বুঝি না।😑😔","","weaklyNegative",-0.5996357917785644,"{""neutral"":0.005181499756872654,""happy"":0.0006745890132151544,""anger/disgust"":0.9515462517738342,""sadness"":0.09192600846290588,""surprise"":0.01111095305532217,""fear"":0.003786916146054864}"
"আর ঘর ছাড়া পিতৃহারা পরিবার গুলো যাদেরকে গুম, খুন করেছেন তাদের পরিবারের খোজ খবর কখনো নিয়েছেন??","","stronglyNegative",-0.9999454975128174,"{""neutral"":0.0035783296916633844,""happy"":0.0016416445141658187,""anger/disgust"":0.7923694849014282,""sadness"":0.4574151635169983,""surprise"":0.030826203525066376,""fear"":0.015193193219602108}"
"আর ঘরহারা মানুষের কান্না আপনার চোখে পড়েনা?পাবলিকের টাকায় করা(নাম আপনার)সেই ঘর ভেঙে মানুষ মরেছে কতজন সেই হিসাব আছে আপনার কাছে?","","stronglyNegative",-0.9999304056167603,"{""neutral"":0.0010098019847646356,""happy"":0.0008117614779621363,""anger/disgust"":0.9860994219779968,""sadness"":0.05102884769439697,""surprise"":0.009342504665255547,""fear"":0.005448163487017155}"
"আর মানুষের ভোট চুরি করার পর??","","stronglyNegative",-0.9999535083770752,"{""neutral"":0.0039486950263381,""happy"":0.000554538331925869,""anger/disgust"":0.9830137491226196,""sadness"":0.02836138755083084,""surprise"":0.02214432694017887,""fear"":0.0009870072826743126}"
"আর যারা আপনার গুতানিতে ঘুমাতে পারছেনা তাদের দেখলে কেমন লাগে??","","weaklyNegative",-0.5998202085494995,"{""neutral"":0.004673996474593878,""happy"":0.0018499363213777542,""anger/disgust"":0.9068426489830017,""sadness"":0.19526752829551697,""surprise"":0.01142664160579443,""fear"":0.009288864210247993}"
