"paragraph","message","polarity_class","polarity_score","emotion"
"অভিনন্দন জাতি গড়ার কারিগর শিক্ষক","","stronglyPositive",0.9999637603759767,"{""neutral"":0.0013642755802720785,""happy"":0.9984530210494995,""anger/disgust"":0.0006722855614498258,""sadness"":0.0005624949117191136,""surprise"":0.0004429834079928696,""fear"":0.00007589752203784883}"
"অমুসলিম হলেই খুব মাতামাতি কৱা হয়","","stronglyNegative",-0.999532675743103,"{""neutral"":0.0452328585088253,""happy"":0.01629285328090191,""anger/disgust"":0.8655813932418823,""sadness"":0.12108365446329117,""surprise"":0.03783824294805527,""fear"":0.008287870325148106}"
"অসম্পূর্ণ রিপোর্ট। মুল ঘটনাই জানতে পারি নি। নিশ্চয়ই তিনি ধর্ম অবমাননাকর কিছু বলেছেন, বেশি পন্ডিতি জাহির করতে গিয়ে, যেমনটি আমাদের দেশের কিছু মাথামোটা বুদ্ধিজীবী (জাফরইকবাল টাইপ) সব সময় করে থাকেন।😱","","stronglyNegative",-0.9101442098617554,"{""neutral"":0.002440415555611253,""happy"":0.0017962072743102908,""anger/disgust"":0.8512346744537354,""sadness"":0.6410090327262878,""surprise"":0.006184822414070368,""fear"":0.02339654602110386}"
"অসাধারণ কথা বলেছেন। স্যালুট স্যার।","","stronglyPositive",0.9999287366867067,"{""neutral"":0.001416779705323279,""happy"":0.9981940388679504,""anger/disgust"":0.0005560345598496497,""sadness"":0.00023299609893001616,""surprise"":0.003979139029979706,""fear"":0.000040779112168820575}"
"অসাধারণ বক্তব্য দেন।যাহা সমাজের জন্য একান্ত অপরিহার্য।","","stronglyPositive",0.9998587608337404,"{""neutral"":0.0008235058048740029,""happy"":0.9976966977119446,""anger/disgust"":0.001416281214915216,""sadness"":0.0006901033339090645,""surprise"":0.008846936747431755,""fear"":0.000053602849220624194}"
"অস্পূর্ণ সংবাদ।","","stronglyNegative",-0.988068413734436,"{""neutral"":0.010998130775988102,""happy"":0.01825113222002983,""anger/disgust"":0.8777672052383423,""sadness"":0.2407180517911911,""surprise"":0.010328859090805054,""fear"":0.024477748200297356}"
"অ্যামনেস্টি কোন সময় মানবতার পক্ষে কাজ করেনি","","stronglyNegative",-0.9940864562988281,"{""neutral"":0.011991172097623348,""happy"":0.007011045701801777,""anger/disgust"":0.513015866279602,""sadness"":0.6828978657722473,""surprise"":0.006209813989698887,""fear"":0.01685474067926407}"
"আইন চলবে আইনের গতিতে কার সুপারিশে কাজ হবে না","","weaklyPositive",0.5329415082931519,"{""neutral"":0.8513879776000977,""happy"":0.01417563110589981,""anger/disgust"":0.14442698657512665,""sadness"":0.005495424382388592,""surprise"":0.0007003335631452501,""fear"":0.0005779978237114847}"
"আইনস্টাইন","","neutral",0.19993665218353274,"{""neutral"":0.9964859485626221,""happy"":0.0020688045769929886,""anger/disgust"":0.0003664873365778476,""sadness"":0.0002830231678672135,""surprise"":0.0005634438130073249,""fear"":0.00012887862976640463}"
"আকসাই মানুষের হামলা করেছে সেটার কোনো খবোর নাই।।","","stronglyNegative",-0.9998825311660766,"{""neutral"":0.017478346824645996,""happy"":0.0033486930187791586,""anger/disgust"":0.8566631078720093,""sadness"":0.19067271053791046,""surprise"":0.036547865718603134,""fear"":0.01768888533115387}"
"আগে ধর্ম পরে বিজ্ঞান","","neutral",-0.19971628189086915,"{""neutral"":0.48808014392852783,""happy"":0.016910212114453316,""anger/disgust"":0.41534745693206787,""sadness"":0.04197844862937927,""surprise"":0.004148735199123621,""fear"":0.003617544425651431}"
"আগেই ভাবছিলাম লেখাটা রাফসান গালিবের।","","weaklyNegative",-0.4020772457122802,"{""neutral"":0.9927905797958374,""happy"":0.0009238933562301099,""anger/disgust"":0.004420323297381401,""sadness"":0.0007089120335876942,""surprise"":0.00903831422328949,""fear"":0.0005128607735969126}"
"আচ্ছা মেনে নিলাম পূর্ব পরিকল্পিত, কিন্তু বিজ্ঞান শিক্ষক যে বক্তব্য দিয়েছে সেটা তো পূর্ব পরিকল্পিত নয়, সেটা কেনো ইসলাম এর সাথে সাংঘর্ষিক হবে. ওই শিক্ষক নিশ্চয়ই এর আগে এরকম অনেকবার ইসলাম কে নিয়ে সাংঘর্ষিক বক্তব্য দিয়েছে, যার কারণে ছাত্ররা বাধ্য হয়ে ভিডিও করেছে প্রমাণ করার জন্য, যাহাতে ওই শিক্ষক এটা অস্বীকার না করতে পারে. তা না হলে একজন ছাত্র কেনো শিক্ষক এর বিপক্ষে যাবে. আমাদের ও অনেক হিন্দু শিক্ষক আছেন, কই আমরা তো তার বিরুদ্ধে যাই নাই কারন আমরা সেইরকম কিছু দেখি নাই আমাদের শিক্ষকদের মাঝে. নিশ্চয়ই ওই শিক্ষক এর আগেও ইসলাম কে নিয়ে সাংঘর্ষিক আলোচনা করেছেন, যার ফলশ্রুতিতে ছাত্ররা সবার সামনে সেটা তুলে ধরার জন্য ভিডিও করে, যাতে সবাই বুঝতে পারে যে বাংলাদেশে ইসলাম কে নিয়ে সবাই কি চক্রান্ত শুরু করেছে, যাহা আমাদের তথা আমদের দেশের জন্য ভয়ঙ্করস্বরুপ. সুতরাং এটা সুস্পষ্ট যে, পূর্বে ছাত্ররা পরিকল্পনা করে যে তারা ভিডিও করবে, যাহাতে অপরাধী র চেহারা সবার সামনে আসে.","","stronglyNegative",-0.9991550207138061,"{""neutral"":0.01083887368440628,""happy"":0.03179456666111946,""anger/disgust"":0.6311933994293213,""sadness"":0.5257096290588379,""surprise"":0.043190840631723404,""fear"":0.4444780647754669}"
"আচ্ছা মেনে নিলাম পূর্ব পরিকল্পিত, কিন্তু বিজ্ঞান শিক্ষক যে বক্তব্য দিয়েছে সেটা তো পূর্ব পরিকল্পিত নয়, সেটা কেনো ইসলাম এর সাথে সাংঘর্ষিক হবে. ওই শিক্ষক নিশ্চয়ই এর আগে এরকম অনেকবার ইসলাম কে নিয়ে সাংঘর্ষিক বক্তব্য দিয়েছে, যার কারণে ছাত্ররা বাধ্য হয়ে ভিডিও করেছে প্রমাণ করার জন্য, যাহাতে ওই শিক্ষক এটা অস্বীকার না করতে পারে. তা না হলে একজন ছাত্র কেনো শিক্ষক এর বিপক্ষে যাবে. আমাদের ও অনেক হিন্দু শিক্ষক আছেন, কই আমরা তো তাহাদের বিরুদ্ধে যাই নাই কারন আমরা সেইরকম কিছু দেখি নাই আমাদের শিক্ষকদের মাঝে. নিশ্চয়ই ওই শিক্ষক এর আগেও ইসলাম কে নিয়ে সাংঘর্ষিক আলোচনা করেছেন, যার ফলশ্রুতিতে ছাত্ররা সবার সামনে সেটা তুলে ধরার জন্য ভিডিও করে, যাতে সবাই বুঝতে পারে যে বাংলাদেশে ইসলাম কে নিয়ে সবাই কি চক্রান্ত শুরু করেছে, যাহা আমাদের তথা আমদের দেশের জন্য ভয়ঙ্করস্বরুপ. সুতরাং এটা সুস্পষ্ট যে, পূর্বে ছাত্ররা পরিকল্পনা করে যে তারা ভিডিও করবে, যাহাতে অপরাধী র চেহারা সবার সামনে আসে.","","stronglyNegative",-0.9991579294204712,"{""neutral"":0.01112642977386713,""happy"":0.03283066675066948,""anger/disgust"":0.6292424201965332,""sadness"":0.5286321043968201,""surprise"":0.04347122088074684,""fear"":0.4434669315814972}"
"আচ্ছা সে যে কোচিং পড়াইত এই জন্য কোচিং বিরোধি নকল জাফ্র ষাড় কি বলবে দেখতে চাই!!","","weaklyNegative",-0.5716002464294434,"{""neutral"":0.2339760810136795,""happy"":0.003577578580006957,""anger/disgust"":0.8215780258178711,""sadness"":0.027022413909435272,""surprise"":0.006625684909522533,""fear"":0.004535212181508541}"
"আচ্ছা,, হেতেতো তাইলে ভাইরাস ও না ভাইরাল,,,🤣🤣","","weaklyNegative",-0.5761521577835083,"{""neutral"":0.7732927799224854,""happy"":0.019684022292494774,""anger/disgust"":0.038206152617931366,""sadness"":0.031747423112392426,""surprise"":0.1985776126384735,""fear"":0.04444728419184685}"
"আজ কাল এই বাক্যর ব্যবহার নাই বললেও চলে, দূর্জন বিদ্বান হলেও পরিত্যাজ্য।","","stronglyNegative",-0.9998598575592041,"{""neutral"":0.0036322311498224735,""happy"":0.0016379919834434986,""anger/disgust"":0.035391248762607574,""sadness"":0.964826762676239,""surprise"":0.006598507985472679,""fear"":0.029440267011523247}"
"আজ যে মুসলিম কুলাঙ্গারগুলো এর মুক্তি চেয়ে আন্দোলন করছে, একসময় এই শিক্ষকই সাম্প্রদায়িকতার ইস্যু টেনে ওর ভারতীয় বাপের কাছে বিচার দিয়ে বলবে বাংলাদেশের মুসলিমরা খারাপ।","","stronglyNegative",-0.9999335289001465,"{""neutral"":0.0017401418881490827,""happy"":0.002665866632014513,""anger/disgust"":0.9882034659385681,""sadness"":0.033735450357198715,""surprise"":0.005964007694274187,""fear"":0.0038397670723497868}"
"আজ রিদয় মন্ডল না হয়ে যদি রিদয় ইসলাম হতো আপনাদের চেতনা কিন্তু ঠিকই চুপ থাকতো 👏","","stronglyNegative",-0.9453392744064331,"{""neutral"":0.005752550438046455,""happy"":0.0011695309076458216,""anger/disgust"":0.7968016862869263,""sadness"":0.43049824237823486,""surprise"":0.0070800743997097015,""fear"":0.012074142694473267}"
"আজকাল যুগে #বিজ্ঞান কেও হুজুরেরা পশ্চাৎপদদেশ দিয়ে যৌনাঙ্গ ডুকিয়ে ধর্ষন করছে। বিজ্ঞান ও হুজুরদের ধর্ষনে ধর্ষিত হয়ে বিচিছাড়া হুজুরের জন্ম হবে, ইনশাল্লা.....","","stronglyNegative",-0.9997822999954223,"{""neutral"":0.0011045817518606782,""happy"":0.0037475721910595894,""anger/disgust"":0.9930673837661743,""sadness"":0.023844411596655846,""surprise"":0.0029956104699522257,""fear"":0.002801330527290702}"
"আজকালতো সবখানেই হাউকাউ লাগলে তা ভিডিও হয়ে যায় তা যেকোন ব্যাপারেই হোক।","","stronglyNegative",-0.9998552799224854,"{""neutral"":0.4980899691581726,""happy"":0.10957381129264832,""anger/disgust"":0.1223210021853447,""sadness"":0.06643851101398468,""surprise"":0.43870654702186584,""fear"":0.023675790056586266}"
"আজব তদন্ত! বলছে ধর্ম অবমাননা করেনি, আবার বলছে মোবাইলে রেকর্ড করা ঠিক হয়নি।","","stronglyNegative",-0.9999309301376342,"{""neutral"":0.034799400717020035,""happy"":0.002505694516003132,""anger/disgust"":0.518534779548645,""sadness"":0.09521843492984772,""surprise"":0.6243598461151123,""fear"":0.020984822884202003}"
"আজব দেশর আজিব পাবলিক😝","","stronglyNegative",-0.9987194538116455,"{""neutral"":0.03120231442153454,""happy"":0.03412235155701637,""anger/disgust"":0.6537600159645081,""sadness"":0.01643475890159607,""surprise"":0.43818217515945435,""fear"":0.0025241479743272066}"
"আদালতের বিষয়ে মন্তব্য করা অবমাননা। শিক্ষকদের এটা বোঝা উচিত","","weaklyNegative",-0.5995471477508545,"{""neutral"":0.01677529513835907,""happy"":0.0024676460307091475,""anger/disgust"":0.8714048266410828,""sadness"":0.16101516783237457,""surprise"":0.0030161147005856037,""fear"":0.0062390826642513275}"
"আপনাকে সেলুট","","weaklyPositive",0.44314761161804206,"{""neutral"":0.003600065829232335,""happy"":0.9973514080047607,""anger/disgust"":0.00026977143716067076,""sadness"":0.0003460664884187281,""surprise"":0.000452430103905499,""fear"":0.00004778958100359887}"
"আপনাদের অনুরোধ শেরপুরে পুলিশের সামনে জবাই করে হত‍্যা নিয়ে কিছু বলেন","","stronglyNegative",-0.9999363422393799,"{""neutral"":0.02096428908407688,""happy"":0.0041183908469974995,""anger/disgust"":0.8082870841026306,""sadness"":0.25829192996025085,""surprise"":0.03180841729044914,""fear"":0.1084074079990387}"
