"paragraph","message","polarity_class","polarity_score","emotion"
"উন্নয়নে মহাসড়কে আমরা এসব কি কথা বলে? যারা উন্নয়ন দেখতে পারেনা তাদের চোখের ডাক্তার দেখানো উচিত 😉","","weaklyNegative",-0.5998406648635863,"{""neutral"":0.04169050231575966,""happy"":0.01173941045999527,""anger/disgust"":0.8439323306083679,""sadness"":0.17860716581344604,""surprise"":0.04278586804866791,""fear"":0.02713932655751705}"
"উন্নয়নের নামে মেগা প্রকল্পে লুটপাট বন্ধ, দ্রব্য মূল্য নিয়ন্ত্রণ, ঘুষ দুর্নীতি বন্ধ, সুষ্ঠু নির্বাচন চালু, তোষামোদি পরিহার করে কাজে মনযোগী হওয়া দরকার। রাষ্ট্রিয় ব্যায় সংকোচন জরুরী।","","weaklyPositive",0.4784088373184205,"{""neutral"":0.005670421756803989,""happy"":0.003165285335853696,""anger/disgust"":0.9833751320838928,""sadness"":0.04523301124572754,""surprise"":0.0033920861314982176,""fear"":0.0073759048245847225}"
"উন্নয়নের প্রধান শর্ত হল অব কাঠামো গত উন্নয়ন। যেমন উন্নত যোগাযোগ ব্যবসথা। আশা করা যায় আগামী ৫ বছরে বাংলাদেশে অবকাঠামো খাতে যে বৈপ্লবিক পরিবর্তন আসছে তা অর্থনীতির চাকাকে আরও বেগবান করবে। বার্ষিক জিডিপি ১০℅ উপরে কিম্বা এর বেশিও হতে পারে। এটাই আজকের বাস্তবতা।","","weaklyPositive",0.5973999738693239,"{""neutral"":0.008706975728273392,""happy"":0.9948274493217468,""anger/disgust"":0.0017838843632489443,""sadness"":0.006081804167479277,""surprise"":0.04565388336777687,""fear"":0.002911495743319392}"
"উপমহাদেশে যার যত চীন প্রীতি সে তত আর্থিক দুর্দশায় ভুগছে","","stronglyNegative",-0.9993804454803467,"{""neutral"":0.0014027414144948125,""happy"":0.000659364799503237,""anger/disgust"":0.09394489228725433,""sadness"":0.9839679002761841,""surprise"":0.003751544514670968,""fear"":0.004550941288471222}"
"উবায়দুল্লাহ্ ইব্ন মূসা (রা) ……….. ইব্ন ‘উমর (রা) থেকে বর্ণিত, তিনি বলেন, রাসূলুল্লাহ (সাঃ) ইরশাদ করেন, ইসলামের ভিত্তি পাঁচটি।১। আল্লাহ ছাড়া ইলাহ্ নেই এবং নিশ্চয় মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আল্লাহর রাসূল-এ কথার সাক্ষ্য দান।২। সালাত কায়েম করা।৩। যাকাত দেওয়া।৪। হজ্জ করা এবং৫। রমদান এর সিয়াম পালন করা।","","neutral",0.19877464771270753,"{""neutral"":0.9776136875152588,""happy"":0.03586627170443535,""anger/disgust"":0.00022366871417034417,""sadness"":0.00027566702920012176,""surprise"":0.0014743597712367773,""fear"":0.0002584182657301426}"
"ঋণ করে ঘি খাওয়ার ফলাফল!","","weaklyNegative",-0.59941725730896,"{""neutral"":0.6695361137390137,""happy"":0.021007351577281952,""anger/disgust"":0.3261810839176178,""sadness"":0.11153741925954819,""surprise"":0.038360100239515305,""fear"":0.010080089792609215}"
"ঋণ প‌রি‌শোধ কর‌তে না পার‌লে শ্রীলঙ্কার কিছু জায়গা বাংলা‌দেশ‌কে দেওয়ার জন‌্য প্রস্তুত থাক‌তে হ‌বে।","","weaklyPositive",0.5998749732971193,"{""neutral"":0.38268646597862244,""happy"":0.0679025799036026,""anger/disgust"":0.2352631837129593,""sadness"":0.31860727071762085,""surprise"":0.07213706523180008,""fear"":0.10820522159337997}"
"ঋণ পরিশোধ না করলে শ্রীলঙ্কাকা কি বাংলাদেশের হয়ে যাবে? 🤣🤣","","weaklyNegative",-0.5998398542404175,"{""neutral"":0.7389985918998718,""happy"":0.009051683358848095,""anger/disgust"":0.1729053109884262,""sadness"":0.1197662204504013,""surprise"":0.0570746548473835,""fear"":0.03406483680009842}"
"ঋণ পরিশোধ না করলে, ছাত্রলীগ ঋণের টাকা তুলে নিয়ে আসবে।😂😂😂😜😜😜","","stronglyNegative",-0.9987904071807862,"{""neutral"":0.06698767840862274,""happy"":0.016634928062558174,""anger/disgust"":0.8715531229972839,""sadness"":0.09821932762861252,""surprise"":0.03151813521981239,""fear"":0.0120991887524724}"
"ঋণ পরিশোধের মেয়াদ আরও ১ বছর বাড়িয়েছে বাংলাদেশ ব্যাংক।গত বছর নেওয়া এ ঋণ পরিশোধের মেয়াদ ছিল চলতি মে মাস পর্যন্ত।মেয়াদ বৃদ্ধির ফলে শ্রীলঙ্কা ২০০ মিলিয়ন ডলার ঋণ পরিশোধে আরও ১ বছর সময় পাচ্ছে।বাংলাদেশ ব্যাংকের এক ঊর্ধ্বতন কর্মকর্তা রোববার দ্য ডেইলি স্টারকে এ তথ্য নিশ্চিত করেছেন।","","neutral",0.19905935525894167,"{""neutral"":0.2931838035583496,""happy"":0.8358674049377441,""anger/disgust"":0.0011330362176522613,""sadness"":0.006435595452785492,""surprise"":0.02093798853456974,""fear"":0.0022802557796239853}"
"ঋণও এমন জায়গায় দিছে উঠে আসাই মুসকিল।অথচ নিজের দেশের মাধ্যমিক শিক্ষা ২% সরকারী।আর আমরা সুদ খাইতে গেছি।","","stronglyNegative",-0.9992229700088501,"{""neutral"":0.001699716434814036,""happy"":0.0027348240837454796,""anger/disgust"":0.73048335313797,""sadness"":0.7987611293792725,""surprise"":0.018219582736492157,""fear"":0.04983631521463394}"
"ঋণের টাকা দিলেই কি পুরো শ্রীলঙ্কা কেনা হয়ে যাবে নাকি!!?","","weaklyNegative",-0.5997171878814698,"{""neutral"":0.2769964039325714,""happy"":0.0025021585170179605,""anger/disgust"":0.32268866896629333,""sadness"":0.05226878821849823,""surprise"":0.4313410222530365,""fear"":0.018444538116455078}"
"ঋণের টাকায় দেশে উন্নয়ন হচ্ছে আবার বলে নিজের অর্থায়নে করেছি।শেখ হাসিনার কথা শুহালে হাসি পায়","","weaklyNegative",-0.5903496980667113,"{""neutral"":0.016227662563323975,""happy"":0.2196481078863144,""anger/disgust"":0.8821353912353516,""sadness"":0.11608052998781204,""surprise"":0.02847662940621376,""fear"":0.006374862976372242}"
"ঋন করে ঘি খাই","","weaklyNegative",-0.5996864795684814,"{""neutral"":0.18114954233169556,""happy"":0.007201883941888809,""anger/disgust"":0.5881847739219666,""sadness"":0.24529476463794708,""surprise"":0.013144822791218758,""fear"":0.0057833632454276085}"
"ঋন নিয়ে বিরিয়ানি খাওয়ার চেয়ে নিজ আয়ে ডাল ভাত ভাল।","","weaklyPositive",0.4500416040420533,"{""neutral"":0.055601511150598526,""happy"":0.3745957016944885,""anger/disgust"":0.35335636138916016,""sadness"":0.33139973878860474,""surprise"":0.026488112285733223,""fear"":0.02870590053498745}"
"এ ঘটনা থেকে অনেক কিছু শেখার আছে।","","weaklyPositive",0.5000584840774537,"{""neutral"":0.005363736301660538,""happy"":0.9953403472900391,""anger/disgust"":0.0005375096807256341,""sadness"":0.0012557576410472393,""surprise"":0.0017379167256876826,""fear"":0.00014657671272289008}"
"এ থেকে আমরা শিক্ষা নিতে পারি যে একটা দেশকে কিভাবে দেউলিয়া করা যায়,,😁","","stronglyNegative",-0.9995611190795899,"{""neutral"":0.41972026228904724,""happy"":0.028416167944669724,""anger/disgust"":0.38744407892227173,""sadness"":0.1902943253517151,""surprise"":0.05444901064038277,""fear"":0.009888689033687115}"
"এ রকম সমস্যা আরো অনেক দেশে হতে পারে, শুধু সময়ের ব্যাপার,","","weaklyNegative",-0.599673867225647,"{""neutral"":0.040988482534885406,""happy"":0.002978175412863493,""anger/disgust"":0.2606387138366699,""sadness"":0.6128212809562683,""surprise"":0.022594323381781578,""fear"":0.18586675822734833}"
"এ সব নিয়ে বাংলাদেশের মানুষ চিন্তা করে না বা চিন্তা করার সময় নাই বাংলাদেশের মানুষ চিন্তা করে টিপকে কি ভাবে সম্মান করতে হয়","","weaklyNegative",-0.5594711065292358,"{""neutral"":0.9422282576560974,""happy"":0.0013890991685912013,""anger/disgust"":0.010519864968955517,""sadness"":0.05875744670629501,""surprise"":0.0008450110326521099,""fear"":0.0016970484284684062}"
"এ সুযোগ পেলে ইলেন মাস্কেরে হাতছাড়া করা উচিৎ হবেনা কারণ টুইটারের চেয়ে এটা অনেক জনপ্রিয়তা পাবেন ইলেন মাস্ক।","","stronglyPositive",0.9993518829345704,"{""neutral"":0.23236240446567535,""happy"":0.8550639152526855,""anger/disgust"":0.0015898954588919878,""sadness"":0.003356613451614976,""surprise"":0.027431467548012733,""fear"":0.0017444477416574955}"
"এই অবস্থা তাহলে,,","","weaklyNegative",-0.5998229265213013,"{""neutral"":0.4567214846611023,""happy"":0.009280802682042122,""anger/disgust"":0.3151463568210602,""sadness"":0.06321024894714355,""surprise"":0.21905569732189178,""fear"":0.008446245454251766}"
"এই বিপর্যয় আমাদের দেশ কেও তাড়া করবে ।","","stronglyNegative",-0.9999289274215698,"{""neutral"":0.00567430816590786,""happy"":0.0027730599977076054,""anger/disgust"":0.0071864016354084015,""sadness"":0.2807396650314331,""surprise"":0.004878993146121502,""fear"":0.9565499424934387}"
"এই ভাবে চলতে থাকলে, আমরাও একই পথের যাত্রী।","","neutral",0.19795690774917604,"{""neutral"":0.008985484018921852,""happy"":0.0025552960578352213,""anger/disgust"":0.05443734675645828,""sadness"":0.3249313533306122,""surprise"":0.0028388574719429016,""fear"":0.8309948444366455}"
"এই ভারতীয় পত্রিকা এমন ভাবে রিপোর্ট করেছে মনে হয় চীন শ্রীলংকা কে ডুবিয়েছে ۔","","stronglyNegative",-0.999220609664917,"{""neutral"":0.007520030718296766,""happy"":0.0010506254620850086,""anger/disgust"":0.9570056200027466,""sadness"":0.05233760550618172,""surprise"":0.0211798008531332,""fear"":0.014425009489059448}"
"এই মুহুর্তে বিশ্বের সকল ধনী দেশ গুলো শ্রীলংকার পাশে দাড়ানো উচিৎ,তা-না হলে শ্রীলংকা অতল গহব্বরে নিমজ্জিত হয়ে যাবে।","","stronglyNegative",-0.8092926025390625,"{""neutral"":0.007439811713993549,""happy"":0.0260581374168396,""anger/disgust"":0.012734338641166687,""sadness"":0.3261798918247223,""surprise"":0.006580457556992769,""fear"":0.9571878910064697}"
